dnaA	Rv0001
dnaN	Rv0002
recF	Rv0003
Rv0004	Rv0004
gyrB	Rv0005
gyrA	Rv0006
Rv0007	Rv0007
ileT	Rvnt01
alaT	Rvnt02
Rv0008c	Rv0008c
ppiA	Rv0009
Rv0010c	Rv0010c
Rv0011c	Rv0011c
Rv0012	Rv0012
trpG	Rv0013
pknB	Rv0014c
pknA	Rv0015c
pbpA	Rv0016c
rodA	Rv0017c
pstP	Rv0018c
fhaB	Rv0019c
fhaA	Rv0020c
leuT	Rvnt03
Rv0021c	Rv0021c
whiB5	Rv0022c
Rv0023	Rv0023
Rv0024	Rv0024
Rv0025	Rv0025
Rv0026	Rv0026
Rv0027	Rv0027
Rv0028	Rv0028
Rv0029	Rv0029
Rv0030	Rv0030
bioF2	Rv0032
acpA	Rv0033
Rv0034	Rv0034
fadD34	Rv0035
Rv0036c	Rv0036c
Rv0037c	Rv0037c
Rv0038	Rv0038
Rv0039c	Rv0039c
mtc28	Rv0040c
leuS	Rv0041
Rv0042c	Rv0042c
Rv0043c	Rv0043c
Rv0044c	Rv0044c
Rv0045c	Rv0045c
ino1	Rv0046c
Rv0047c	Rv0047c
Rv0048c	Rv0048c
Rv0049	Rv0049
ponA1	Rv0050
Rv0051	Rv0051
Rv0052	Rv0052
rpsF	Rv0053
ssb	Rv0054
rpsR1	Rv0055
rplI	Rv0056
Rv0057	Rv0057
dnaB	Rv0058
Rv0059	Rv0059
Rv0060	Rv0060
Rv0061c	Rv0061c
celA1	Rv0062
Rv0063	Rv0063
Rv0063a	Rv0063a
Rv0064	Rv0064
vapB1	Rv0064A
vapC1	Rv0065
icd2	Rv0066c
Rv0067c	Rv0067c
Rv0068	Rv0068
sdaA	Rv0069c
glyA2	Rv0070c
Rv0071	Rv0071
Rv0072	Rv0072
Rv0073	Rv0073
Rv0074	Rv0074
Rv0075	Rv0075
Rv0076c	Rv0076c
Rv0077c	Rv0077c
Rv0078	Rv0078
Rv0078A	Rv0078A
Rv0078B	Rv0078B
Rv0079	Rv0079
Rv0080	Rv0080
Rv0081	Rv0081
Rv0082	Rv0082
Rv0083	Rv0083
hycD	Rv0084
hycP	Rv0085
hycQ	Rv0086
hycE	Rv0087
Rv0088	Rv0088
Rv0089	Rv0089
Rv0090	Rv0090
mtn	Rv0091
ctpA	Rv0092
Rv0093c	Rv0093c
Rv0094c	Rv0094c
Rv0095c	Rv0095c
PPE1	Rv0096
Rv0097	Rv0097
fcoT	Rv0098
fadD10	Rv0099
Rv0100	Rv0100
nrp	Rv0101
Rv0102	Rv0102
ctpB	Rv0103c
Rv0104	Rv0104
rpmB1	Rv0105c
Rv0106	Rv0106
ctpI	Rv0107c
Rv0108c	Rv0108c
PE_PGRS1	Rv0109
Rv0110	Rv0110
Rv0111	Rv0111
gca	Rv0112
gmhA	Rv0113
gmhB	Rv0114
hddA	Rv0115
Rv0115a	Rv0115a
ldtA	Rv0116c
oxyS	Rv0117
oxcA	Rv0118c
fadD7	Rv0119
fusA2	Rv0120c
Rv0121c	Rv0121c
Rv0122	Rv0122
Rv0123	Rv0123
PE_PGRS2	Rv0124
pepA	Rv0125
treS	Rv0126
mak	Rv0127
Rv0128	Rv0128
fbpC	Rv0129c
htdZ	Rv0130
fadE1	Rv0131c
fgd2	Rv0132c
Rv0133	Rv0133
ephF	Rv0134
Rv0135c	Rv0135c
cyp138	Rv0136
msrA	Rv0137c
Rv0138	Rv0138
Rv0139	Rv0139
Rv0140	Rv0140
Rv0141c	Rv0141c
Rv0142	Rv0142
Rv0143c	Rv0143c
Rv0144	Rv0144
Rv0145	Rv0145
Rv0146	Rv0146
Rv0147	Rv0147
Rv0148	Rv0148
Rv0149	Rv0149
Rv0150c	Rv0150c
PE1	Rv0151c
PE2	Rv0152c
ptbB	Rv0153c
fadE2	Rv0154c
pntAa	Rv0155
pntAb	Rv0156
pntB	Rv0157
Rv0157A	Rv0157A
Rv0158	Rv0158
PE3	Rv0159c
PE4	Rv0160c
Rv0161	Rv0161
adhE1	Rv0162c
Rv0163	Rv0163
TB18.5	Rv0164
mce1R	Rv0165c
fadD5	Rv0166
yrbE1A	Rv0167
yrbE1B	Rv0168
mce1A	Rv0169
mce1B	Rv0170
mce1C	Rv0171
mce1D	Rv0172
lprK	Rv0173
mce1F	Rv0174
Rv0175	Rv0175
Rv0176	Rv0176
Rv0177	Rv0177
Rv0178	Rv0178
lprO	Rv0179c
Rv0180c	Rv0180c
Rv0181c	Rv0181c
sigG	Rv0182c
Rv0183	Rv0183
Rv0184	Rv0184
Rv0185	Rv0185
bglS	Rv0186
mymT	Rv0186A
Rv0187	Rv0187
