Accession	Lineage
SRS494396	lineage4
ERS181485	lineage2
ERS181307	lineage2
SRS419312	lineage2
SRS419310	lineage4
SRS419311	lineage4
SRS419316	lineage4
SRS419314	lineage4
SRS419319	lineage4
ERS066712	lineage2
ERS066713	lineage2
ERS066711	lineage2
ERS066716	lineage2
ERS066717	lineage2
ERS066714	lineage2
ERS066715	lineage4
ERS066718	lineage2
ERS066719	lineage2
ERS181455	lineage2
SRS415254	lineage4
SRS415253	lineage4
SRS415252	lineage4
ERS096348	lineage2
ERS096349	lineage2
ERS096346	lineage2
ERS096347	lineage2
ERS096344	lineage4
ERS096345	lineage2
ERS096342	lineage2
ERS096343	lineage4
ERS096340	lineage2
ERS096341	lineage2
ERS181369	lineage2
ERS094209	lineage4
ERS094208	lineage2
ERS181363	lineage2
ERS094204	lineage2
ERS094207	lineage2
ERS094206	lineage4
ERS094201	lineage4
ERS094200	lineage4
ERS094203	lineage2
ERS094202	lineage2
SRS415209	lineage4
ERS181480	lineage2
ERS124797	lineage2
ERS181569	lineage2
SRS415226	lineage4
SRS415227	lineage4
SRS415224	lineage4
SRS415228	lineage4
SRS415229	lineage4
ERS181457	lineage4
ERS096512	lineage2
SRS419320	lineage4
ERS096511	lineage2
ERS066619	lineage2
ERS066617	lineage4
ERS066616	lineage2
ERS066615	lineage2
ERS066614	lineage2
ERS066613	lineage2
ERS066612	lineage4
ERS066610	lineage2
ERS053644	lineage4
ERS053645	lineage2
ERS053646	lineage2
ERS053647	lineage2
ERS053640	lineage2
ERS053641	lineage4
ERS053642	lineage4
ERS053643	lineage4
ERS096481	lineage2
ERS181456	lineage2
ERS053648	lineage2
ERS053649	lineage2
ERS096480	lineage4
ERS094119	lineage4
ERS094118	lineage4
ERS181566	lineage2
ERS181561	lineage2
ERS181560	lineage2
ERS181408	lineage2
ERS181409	lineage2
ERS094111	lineage4
ERS181407	lineage2
ERS094113	lineage4
ERS094112	lineage4
ERS094115	lineage2
ERS181403	lineage4
ERS094117	lineage4
ERS094116	lineage2
ERS066668	lineage2
ERS066669	lineage2
ERS066662	lineage4
ERS066663	lineage4
ERS066660	lineage4
ERS066661	lineage4
ERS066666	lineage2
ERS066667	lineage4
ERS066664	lineage2
ERS066665	lineage4
ERS096489	lineage2
ERS096494	lineage2
ERS181582	lineage4
ERS096488	lineage4
SRS415176	lineage4
SRS415177	lineage2
SRS415174	lineage4
SRS415175	lineage2
ERS096409	lineage2
ERS096408	lineage2
SRS415170	lineage1
ERS181450	lineage2
ERS096405	lineage2
ERS096404	lineage4
ERS096407	lineage2
ERS096401	lineage2
ERS096400	lineage4
ERS096403	lineage2
ERS096402	lineage2
ERS124833	lineage2
ERS124836	lineage4
ERS124837	lineage2
ERS124834	lineage4
ERS124835	lineage2
ERS124838	lineage2
ERS124839	lineage2
ERS181543	lineage2
ERS181453	lineage2
ERS181542	lineage2
ERS181541	lineage2
SRS494391	lineage4
ERS053608	lineage2
SRS494393	lineage4
ERS181540	lineage4
SRS494395	lineage2
SRS494394	lineage4
SRS494397	lineage4
ERS053609	lineage2
SRS494399	lineage4
ERS181547	lineage2
ERS181452	lineage4
ERS181481	lineage4
SRS490554	lineage4
ERS181544	lineage2
ERS181424	lineage4
ERS181425	lineage4
ERS096373	lineage2
ERS181394	lineage4
ERS181400	lineage2
ERS181427	lineage4
ERS124841	lineage4
ERS124840	lineage2
ERS181420	lineage4
ERS181458	lineage2
ERS181393	lineage2
ERS181572	lineage2
ERS053603	lineage2
ERS181422	lineage2
ERS096372	lineage2
ERS181423	lineage2
ERS181570	lineage2
ERS050955	lineage4
ERS050954	lineage4
ERS050957	lineage2
ERS050956	lineage4
ERS050951	lineage4
ERS050950	lineage4
ERS050953	lineage2
ERS181604	lineage4
ERS181576	lineage2
ERS050959	lineage4
ERS050958	lineage2
ERS124799	lineage2
ERS124798	lineage2
ERS096377	lineage2
ERS181562	lineage4
SRS419328	lineage4
ERS094269	lineage4
ERS096376	lineage2
SRS419323	lineage4
SRS419321	lineage4
ERS094268	lineage2
SRS419327	lineage4
ERS096375	lineage4
SRS419325	lineage4
SRS419324	lineage2
ERS181447	lineage4
ERS181473	lineage2
ERS181577	lineage4
ERS096374	lineage2
ERS181472	lineage2
ERS094159	lineage4
ERS181471	lineage2
ERS094158	lineage2
ERS066653	lineage2
ERS066652	lineage4
ERS066650	lineage2
ERS096370	lineage2
ERS096371	lineage2
ERS066655	lineage2
ERS066654	lineage4
ERS181477	lineage4
ERS066659	lineage2
ERS066658	lineage4
ERS053604	lineage4
ERS053605	lineage2
ERS053606	lineage4
ERS053607	lineage2
ERS094094	lineage2
ERS094095	lineage2
ERS094096	lineage4
ERS094097	lineage4
ERS094090	lineage4
ERS094091	lineage2
ERS094092	lineage4
ERS094093	lineage4
ERS094155	lineage2
ERS094154	lineage2
ERS094157	lineage2
ERS094156	lineage2
ERS094098	lineage4
ERS094099	lineage2
ERS094153	lineage4
ERS094152	lineage2
ERS094256	lineage4
ERS094257	lineage2
ERS094254	lineage4
ERS094255	lineage2
ERS094252	lineage2
ERS094253	lineage4
ERS094250	lineage4
ERS094251	lineage4
ERS096507	lineage2
ERS094151	lineage2
ERS181449	lineage4
ERS181338	lineage2
ERS181339	lineage2
ERS094258	lineage4
ERS094259	lineage2
SRS415219	lineage2
SRS415218	lineage4
ERS096379	lineage2
SRS415213	lineage4
SRS415212	lineage2
SRS415211	lineage4
ERS096378	lineage2
SRS415217	lineage4
ERS181303	lineage4
SRS415214	lineage4
ERS181334	lineage2
ERS181295	lineage2
ERS181335	lineage2
ERS094213	lineage2
SRS415205	lineage4
ERS181336	lineage2
ERS053734	lineage2
ERS053735	lineage4
ERS053736	lineage2
ERS053737	lineage2
ERS053730	lineage4
ERS053731	lineage2
ERS053732	lineage2
ERS053733	lineage4
ERS181330	lineage4
ERS053738	lineage2
ERS181443	lineage2
ERS094260	lineage4
ERS181294	lineage4
ERS181332	lineage4
ERS181476	lineage4
ERS181539	lineage4
ERS181536	lineage4
ERS181537	lineage4
ERS181534	lineage4
ERS181333	lineage2
ERS181532	lineage4
ERS181533	lineage2
ERS181530	lineage4
ERS181531	lineage2
ERS181389	lineage2
ERS181388	lineage4
ERS181360	lineage2
ERS096428	lineage2
ERS181433	lineage2
ERS181432	lineage4
ERS181431	lineage2
ERS181430	lineage4
ERS181381	lineage2
ERS181382	lineage4
ERS181385	lineage4
ERS181384	lineage4
ERS181439	lineage4
ERS181386	lineage4
ERS181367	lineage2
ERS181362	lineage2
SRS490571	lineage4
ERS181361	lineage2
ERS096456	lineage2
ERS096457	lineage2
ERS096454	lineage2
ERS096455	lineage2
ERS096452	lineage2
ERS096453	lineage4
ERS096450	lineage2
ERS096451	lineage4
ERS124803	lineage2
ERS124802	lineage2
ERS124801	lineage4
ERS124800	lineage2
ERS124807	lineage2
ERS124806	lineage4
ERS181366	lineage2
ERS096459	lineage2
ERS124813	lineage2
ERS181365	lineage2
ERS181364	lineage4
ERS181596	lineage2
ERS124818	lineage2
SRS415173	lineage4
ERS124819	lineage2
ERS096493	lineage4
ERS181563	lineage2
ERS181352	lineage4
SRS415210	lineage4
ERS181353	lineage2
ERS181331	lineage2
ERS181454	lineage2
SRS415215	lineage4
ERS181475	lineage2
ERS124812	lineage2
SRS415171	lineage4
SRS415244	lineage4
SRS415245	lineage2
ERS096339	lineage4
ERS096338	lineage2
SRS415240	lineage4
SRS415241	lineage4
SRS415242	lineage4
ERS181551	lineage4
ERS096333	lineage2
ERS096332	lineage4
ERS094223	lineage4
ERS096330	lineage4
ERS096337	lineage2
ERS096336	lineage2
ERS096335	lineage2
ERS096334	lineage2
ERS094191	lineage2
ERS094190	lineage2
ERS094193	lineage2
ERS094192	lineage4
ERS094195	lineage2
ERS094194	lineage4
ERS094197	lineage2
ERS094196	lineage2
ERS094199	lineage2
ERS094198	lineage4
ERS094210	lineage4
ERS094211	lineage4
ERS094216	lineage2
ERS181358	lineage2
ERS094214	lineage2
ERS094215	lineage2
SRS415222	lineage2
ERS181273	lineage2
ERS181272	lineage2
ERS181275	lineage2
ERS181274	lineage4
ERS096496	lineage4
ERS181276	lineage2
ERS181279	lineage2
ERS181278	lineage2
SRS415221	lineage4
ERS181467	lineage2
ERS096485	lineage2
ERS096484	lineage2
ERS096486	lineage2
ERS066608	lineage2
ERS066609	lineage4
ERS096483	lineage2
ERS096482	lineage2
ERS066605	lineage4
ERS066606	lineage2
ERS066607	lineage4
ERS066600	lineage2
ERS066601	lineage2
ERS066602	lineage4
ERS066603	lineage2
ERS053671	lineage2
ERS053670	lineage2
ERS053673	lineage2
ERS053672	lineage4
ERS053675	lineage2
ERS053674	lineage2
ERS053677	lineage2
ERS053676	lineage2
ERS053679	lineage2
ERS053678	lineage2
ERS094106	lineage4
ERS094107	lineage4
ERS094104	lineage2
ERS181478	lineage2
ERS094102	lineage4
ERS094103	lineage2
ERS094100	lineage4
ERS094101	lineage4
ERS094267	lineage4
ERS094266	lineage4
ERS094265	lineage2
ERS094264	lineage2
ERS094263	lineage4
ERS094262	lineage2
ERS094108	lineage4
ERS094109	lineage2
ERS066697	lineage4
ERS066696	lineage2
ERS066695	lineage2
ERS066694	lineage2
ERS066693	lineage2
ERS066692	lineage4
ERS066691	lineage2
ERS066690	lineage2
ERS066698	lineage4
SRS490556	lineage4
SRS490574	lineage2
SRS490577	lineage3
ERS181598	lineage2
ERS181599	lineage4
ERS181594	lineage4
ERS181595	lineage4
ERS181441	lineage4
ERS181597	lineage4
SRS490579	lineage4
ERS181591	lineage2
ERS181592	lineage4
ERS181593	lineage4
ERS096418	lineage2
ERS096419	lineage4
ERS096412	lineage2
ERS096413	lineage2
ERS096410	lineage4
ERS096411	lineage2
ERS096417	lineage2
ERS096414	lineage4
ERS096415	lineage2
SRS415248	lineage4
SRS415197	lineage3
ERS124816	lineage2
ERS181507	lineage4
ERS181506	lineage2
ERS181505	lineage4
ERS181504	lineage2
ERS181490	lineage4
ERS181502	lineage4
ERS181568	lineage2
SRS494400	lineage4
ERS181503	lineage4
SRS419326	lineage4
SRS415256	lineage4
ERS181509	lineage2
ERS181508	lineage4
SRS494405	lineage4
SRS415178	lineage4
ERS096498	lineage2
SRS494406	lineage4
SRS490589	lineage2
ERS181538	lineage4
ERS096469	lineage2
ERS096468	lineage2
ERS096467	lineage4
