gene	rv	total_mutations	pr_pi_all	pr_theta_all	pr_ted_res	homoplasy	fst
katG	Rv1908c	226	0.796418732782369	0.815977961432507	0.338316722037652	TRUE	TRUE
pncA	Rv2043c	195	0.969146005509642	1	0.000276854928017719	TRUE	FALSE
embB	Rv3795	117	0.767217630853995	0.886776859504132	0.0836101882613511	TRUE	TRUE
ahpC	Rv2428	31	0.2	0.209228650137741	0.612679955703212	TRUE	FALSE
tlyA	Rv1694	28	0.371900826446281	0.889807162534435	0.060077519379845	FALSE	FALSE
embC	Rv3793	28	0.589256198347107	0.74435261707989	0.0127353266888151	FALSE	FALSE
embR	Rv1267c	25	0.461157024793388	0.49366391184573	0.276024363233666	FALSE	FALSE
rrs	Rvnr01	24	0.887878787878788	0.995867768595041	0.0833333333333333	FALSE	FALSE
ethA	Rv3854c	23	0.721763085399449	0.998071625344353	0.000553709856035437	TRUE	FALSE
gid	Rv3919c	22	0.996969696969697	0.999173553719008	0.0705980066445183	TRUE	FALSE
gyrB	Rv0005	15	0.579889807162534	0.913498622589532	0.00415282392026578	TRUE	FALSE
fabG1	Rv1483	13	0.59862258953168	0.663498622589532	0.300387596899225	TRUE	FALSE
inhA	Rv1484	13	0.556198347107438	0.593112947658402	0.318660022148394	TRUE	FALSE
rpsL	Rv0682	13	0.987603305785124	0.949862258953168	0.804263565891473	TRUE	TRUE
gyrA	Rv0006	12	0.813774104683196	0.940771349862259	0.0966223698781838	TRUE	TRUE
embA	Rv3794	11	0.768595041322314	0.380440771349862	0.788759689922481	FALSE	FALSE
kasA	Rv2245	7	0.733057851239669	0.184848484848485	0.855204872646733	FALSE	FALSE
ndh	Rv1854c	5	0.574104683195592	0.516253443526171	0.280177187153931	FALSE	FALSE
iniA	Rv0342	4	0.644077134986226	0.328099173553719	0.555094130675526	FALSE	FALSE
Rv0340	Rv0340	3	0.886501377410468	0.884022038567493	0.567552602436323	FALSE	FALSE
iniB	Rv0341	3	0.0713498622589532	0.0730027548209366	0.785714285714286	FALSE	FALSE
fbpC	Rv0129c	3	0.783746556473829	0.191460055096419	0.886766334440753	FALSE	FALSE
rmlD	Rv3266c	2	0.751515151515151	0.360055096418733	0.748062015503876	FALSE	FALSE
iniC	Rv0343	2	0.48595041322314	0.66900826446281	0.0844407530454042	FALSE	FALSE
thyA	Rv2764c	2	0.843526170798898	0.938567493112948	0.284606866002215	FALSE	FALSE
accD6	Rv2247	1	0.902479338842975	0.632231404958678	0.900055370985604	FALSE	FALSE
furA	Rv1909c	1	0.798898071625344	0.626170798898072	0.616832779623477	FALSE	FALSE
Rv1772	Rv1772	1	0.502754820936639	0.347382920110193	0.539867109634552	FALSE	FALSE
fabD	Rv2243	1	0.263636363636364	0.281818181818182	0.544296788482835	FALSE	FALSE
fadE24	Rv3139	1	0.359504132231405	0.580440771349862	0.117386489479513	FALSE	FALSE
rpoB	Rv0667	1	0.818457300275482	0.915151515151515	0.181616832779623	TRUE	TRUE
efpA	Rv2846c	1	0.096969696969697	0.109779614325069	0.654208194905869	FALSE	FALSE
ethR	Rv3855	NA	0.582920110192838	0.774380165289256	0.216777408637874	FALSE	FALSE
Rv0678	Rv0678	NA	0.366942148760331	0.720936639118457	0.251384274640089	FALSE	FALSE
eis	Rv2416c	NA	0.51267217630854	0.276308539944904	0.538759689922481	FALSE	FALSE
mshA	Rv0486	NA	0.863636363636364	0.481267217630854	0.87375415282392	FALSE	FALSE
rpsA	Rv1630	NA	0.87603305785124	0.622727272727273	0.837209302325581	FALSE	FALSE
folC	Rv2447c	NA	0.662258953168044	0.784022038567493	0.110188261351052	TRUE	FALSE
rplC	Rv0701	NA	0.568044077134986	0.771074380165289	0.211794019933555	FALSE	FALSE
